"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2056","multiple file upload works","webkit","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","2366","has title","firefox","2026-01-27","passed","2026-01-27","","ScreenShotandVideo.spec.js","",""
"","7834","Test for dropdown list","webkit","2026-01-27","passed","2026-01-27","","Record.spec.js","",""
"","4032","test the dropdown list","chromium","2026-01-27","passed","2026-01-27","","ErrorMessage.spec.js","",""
"","2073","reading data from JSON","webkit","2026-01-27","passed","2026-01-27","","ReadFromFIle.spec.js","",""
"","1530","has title","chromium","2026-01-27","passed","2026-01-27","","ScreenShotandVideo.spec.js","",""
"","7632","Test the iFrame pages","firefox","2026-01-27","passed","2026-01-27","","Fram.spec.js","",""
"","9671","test demo/login.spec.js","firefox","2026-01-27","passed","2026-01-27","","demo\login.spec.js","",""
"","2656","has title","firefox","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
"","783","test with tag","chromium","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","7257","has title","firefox","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","798","Login To Application","chromium","2026-01-27","passed","2026-01-27","Login with users 003","ReadFromFIle1.spec.js","",""
"","2272","file upload works","webkit","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","10128","test the dropdown list","webkit","2026-01-27","passed","2026-01-27","","ErrorMessage.spec.js","",""
"","789","Login To Application","chromium","2026-01-27","passed","2026-01-27","Login with users 001","ReadFromFIle1.spec.js","",""
"","3643","test demo/login.spec.js","chromium","2026-01-27","passed","2026-01-27","","demo\login.spec.js","",""
"","2133","Login To Application","firefox","2026-01-27","passed","2026-01-27","Login with users 003","ReadFromFIle1.spec.js","",""
"","4928","test","webkit","2026-01-27","passed","2026-01-27","","TwoPagesOnWebSite.spec.js","",""
"","1692","get started link","webkit","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
"","9578","test","webkit","2026-01-27","passed","2026-01-27","","MouseHover.spec.js","",""
"","3691","test","chromium","2026-01-27","passed","2026-01-27","","Tag1.spec.js","",""
"","1214","file upload works","chromium","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","10585","Simple alert","firefox","2026-01-27","passed","2026-01-27","","KeyBoard.spec.js","",""
"","7350","test","firefox","2026-01-27","passed","2026-01-27","","Tag1.spec.js","",""
"","5028","test the dropdown list","chromium","2026-01-27","passed","2026-01-27","","Dropdownlist.spec.js","",""
"","5333","test","chromium","2026-01-27","passed","2026-01-27","","MouseHover.spec.js","",""
"","2353","multiple file upload works","firefox","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","2830","get started link","webkit","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","5948","test the dropdown list","webkit","2026-01-27","passed","2026-01-27","","Dropdownlist.spec.js","",""
"","2459","Login To Application","firefox","2026-01-27","passed","2026-01-27","Login with users 001","ReadFromFIle1.spec.js","",""
"","2576","Test the iFrame pages","chromium","2026-01-27","passed","2026-01-27","","Fram.spec.js","",""
"","8110","Simple alert","chromium","2026-01-27","passed","2026-01-27","","KeyBoard.spec.js","",""
"","2000","has title","webkit","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","1515","multiple file upload works","chromium","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","6297","test","webkit","2026-01-27","passed","2026-01-27","","Tag1.spec.js","",""
"","1698","test with tag","webkit","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","1960","Login To Application","webkit","2026-01-27","passed","2026-01-27","Login with users 002","ReadFromFIle1.spec.js","",""
"","16060","Simple alert","firefox","2026-01-27","passed","2026-01-27","","Alret.spec.js","",""
"","9567","test","firefox","2026-01-27","passed","2026-01-27","","MouseHover.spec.js","",""
"","9315","Simple alert","webkit","2026-01-27","passed","2026-01-27","","Alret.spec.js","",""
"","1838","get started link","firefox","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
"","971","my test with metadata","webkit","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","3311","has title","webkit","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
"","13558","test the dropdown list","firefox","2026-01-27","passed","2026-01-27","","ErrorMessage.spec.js","",""
"","7785","Simple alert","chromium","2026-01-27","passed","2026-01-27","","Alret.spec.js","",""
"","2531","reading data from JSON","firefox","2026-01-27","passed","2026-01-27","","ReadFromFIle.spec.js","",""
"","2707","get started link","chromium","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","6506","Test the iFrame pages","webkit","2026-01-27","passed","2026-01-27","","Fram.spec.js","",""
"","17176","test the dropdown list","firefox","2026-01-27","passed","2026-01-27","","Dropdownlist.spec.js","",""
"","3860","test","chromium","2026-01-27","passed","2026-01-27","","TwoPagesOnWebSite.spec.js","",""
"","9607","Simple alert","webkit","2026-01-27","passed","2026-01-27","","KeyBoard.spec.js","",""
"","7052","Test for dropdown list","chromium","2026-01-27","passed","2026-01-27","","Record.spec.js","",""
"","1407","has title","chromium","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","3897","has title","webkit","2026-01-27","passed","2026-01-27","","ScreenShotandVideo.spec.js","",""
"","1924","Login To Application","webkit","2026-01-27","passed","2026-01-27","Login with users 001","ReadFromFIle1.spec.js","",""
"","2618","file upload works","firefox","2026-01-27","passed","2026-01-27","","UploadFile.spec.js","",""
"","6935","test","firefox","2026-01-27","passed","2026-01-27","","TwoPagesOnWebSite.spec.js","",""
"","800","Login To Application","chromium","2026-01-27","passed","2026-01-27","Login with users 002","ReadFromFIle1.spec.js","",""
"","7244","test demo/login.spec.js","webkit","2026-01-27","passed","2026-01-27","","demo\login.spec.js","",""
"","1686","Login To Application","webkit","2026-01-27","passed","2026-01-27","Login with users 003","ReadFromFIle1.spec.js","",""
"","1956","test with tag","firefox","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","1220","has title","chromium","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
"","909","reading data from JSON","chromium","2026-01-27","passed","2026-01-27","","ReadFromFIle.spec.js","",""
"","1036","my test with metadata","firefox","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","11523","get started link","firefox","2026-01-27","passed","2026-01-27","","example.spec.js","",""
"","340","my test with metadata","chromium","2026-01-27","passed","2026-01-27","","Tags.spec.js","",""
"","2288","Login To Application","firefox","2026-01-27","passed","2026-01-27","Login with users 002","ReadFromFIle1.spec.js","",""
"","8418","Test for dropdown list","firefox","2026-01-27","passed","2026-01-27","","Record.spec.js","",""
"","908","get started link","chromium","2026-01-27","passed","2026-01-27","","NewFileName.spec.js","",""
